"","Year","Pick","Player","Name","Team","Pos","College","school_logo","logo"
"72",2018,9,9,"Mike McGlinchey","49ers","T","Notre Dame","Notre Dame","http://a.espncdn.com/i/teamlogos/ncaa/500/87.png"
"73",2018,10,10,"Josh Rosen","Cardinals","QB","UCLA","UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"74",2018,11,11,"Minkah Fitzpatrick","Dolphins","DB","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"75",2018,12,12,"Vita Vea","Buccaneers","DT","Washington","Washington","http://a.espncdn.com/i/teamlogos/ncaa/500/264.png"
"76",2018,13,13,"Da'Ron Payne","Redskins","DT","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"77",2018,14,14,"Marcus Davenport","Saints","DE","Texas-San Antonio","Texas-San Antonio","http://a.espncdn.com/i/teamlogos/ncaa/500/2636.png"
"78",2018,15,15,"Kolton Miller","Raiders","T","UCLA","UCLA","http://a.espncdn.com/i/teamlogos/ncaa/500/26.png"
"79",2018,16,16,"Tremaine Edmunds","Bills","LB","Virginia Tech","Virginia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png"
"80",2018,17,17,"Derwin James","Chargers","DB","Florida State","Florida State","http://a.espncdn.com/i/teamlogos/ncaa/500/52.png"
"81",2018,18,18,"Jaire Alexander","Packers","DB","Louisville","Louisville","http://a.espncdn.com/i/teamlogos/ncaa/500/97.png"
"82",2018,19,19,"Leighton Vander Esch","Cowboys","LB","Boise State","Boise State","http://a.espncdn.com/i/teamlogos/ncaa/500/68.png"
"83",2018,20,20,"Frank Ragnow","Lions","C","Arkansas","Arkansas","http://a.espncdn.com/i/teamlogos/ncaa/500/8.png"
"84",2018,21,21,"Billy Price","Bengals","C","Ohio State","Ohio State","http://a.espncdn.com/i/teamlogos/ncaa/500/194.png"
"85",2018,22,22,"Rashaan Evans","Titans","LB","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"86",2018,23,23,"Isaiah Wynn","Patriots","G","Georgia","Georgia","http://a.espncdn.com/i/teamlogos/ncaa/500/61.png"
"87",2018,24,24,"D.J. Moore","Panthers","WR","Maryland","Maryland","http://a.espncdn.com/i/teamlogos/ncaa/500/120.png"
"88",2018,25,25,"Hayden Hurst","Ravens","TE","South Carolina","South Carolina","http://a.espncdn.com/i/teamlogos/ncaa/500/2579.png"
"89",2018,26,26,"Calvin Ridley","Falcons","WR","Alabama","Alabama","http://a.espncdn.com/i/teamlogos/ncaa/500/333.png"
"90",2018,27,27,"Rashaad Penny","Seahawks","RB","San Diego State","San Diego State","http://a.espncdn.com/i/teamlogos/ncaa/500/21.png"
"91",2018,28,28,"Terrell Edmunds","Steelers","DB","Virginia Tech","Virginia Tech","http://a.espncdn.com/i/teamlogos/ncaa/500/259.png"
"92",2018,29,29,"Taven Bryan","Jaguars","DT","Florida","Florida","http://a.espncdn.com/i/teamlogos/ncaa/500/57.png"
