Rank,Institution,Conference,Division,fall_final,w_cc_rank,w_cc_pts,m_cc_rank,m_cc_pts,w_fh_rank,w_fh_pts,fb_rank,fb_pts,w_soc_rank,w_soc_pts,m_soc_rank,m_soc_pts,w_vb_rank,w_vb_pts
151,Navy,Patriot,FBS,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0
151,North Dakota,Summit,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,North Texas,Conference USA,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Northern Colorado,Big Sky,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Oklahoma,Big 12,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Old Dominion,Sun Belt,FBS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Omaha,Summit,DI,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Pepperdine,WCC,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Radford,Big South,DI,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Rider,MAAC,DI,25,0,0,0,0,17,25,0,0,0,0,0,0,0,0
151,Saint Francis (PA),Northeast,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,San Diego State,Mountain West,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Seton Hall,Big East,DI,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0
151,SIU Edwardsville,OVC,DI,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,South Alabama,Sun Belt,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,South Dakota,Summit,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Southeast Missouri State,OVC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,Stephen F. Austin,WAC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Tennessee State,OVC,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Towson,CAA,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,UC Riverside,Big West,DI,25,0,0,0,0,0,0,0,0,0,0,33,25,0,0
151,UConn,Big East,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,UMBC,America East,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,UNLV,Mountain West,FBS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Virginia Tech,ACC,FBS,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Wisconsin Milwaukee,Horizon League,DI,25,0,0,0,0,0,0,0,0,33,25,0,0,0,0
151,Wright State,Horizon League,DI,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
151,Wyoming,Mountain West,FBS,25,0,0,0,0,0,0,51,25,0,0,0,0,0,0
151,Yale,Ivy League,FCS,25,0,0,0,0,0,0,0,0,0,0,0,0,33,25
