#,Name,Team,Age,IP,K/9,BB/9,K/BB,HR/9,K%,BB%,K-BB%,AVG,WHIP,BABIP,LOB%,ERA,FIP,E-F
176,Fawster Voytko,UIW,,39.1,6.64,3.89,1.71,0.69,16.40%,9.60%,6.80%,0.265,1.47,0.309,57.80%,6.18,5.36,0.82
177,Patrick Bauer,JMU,23,54,7.5,4,1.88,0.67,18.30%,9.80%,8.50%,0.286,1.59,0.345,64.40%,5.83,5.02,0.81
178,Jake Villar,UCSD,,40.2,7.75,3.1,2.5,1.55,18.50%,7.40%,11.10%,0.326,1.72,0.377,64.90%,6.64,5.83,0.81
179,Duke Stone,MSST,20,64.2,12.25,3.48,3.52,1.53,29.60%,8.40%,21.20%,0.28,1.53,0.382,71.00%,5.43,4.62,0.81
180,Trey Newmann,PORT,20,67.1,9.89,2.41,4.11,0.8,24.00%,5.80%,18.20%,0.282,1.46,0.363,60.70%,5.21,4.41,0.8
181,Alex Sotiropoulos,COLU,20,54.2,7.24,6.26,1.16,0.82,15.30%,13.20%,2.10%,0.219,1.66,0.249,56.50%,6.91,6.12,0.8
182,Colin Fisher,ARK,21,53,9.17,2.72,3.38,1.19,23.60%,7.00%,16.60%,0.249,1.26,0.306,58.30%,5.43,4.64,0.79
183,Jake Cumming,COPP,,46,8.61,13.11,0.66,0.59,16.20%,24.70%,-8.50%,0.294,2.7,0.367,47.80%,10.17,9.39,0.78
184,JR Tollett,UL,,49.2,7.61,2.9,2.63,2.72,17.90%,6.80%,11.10%,0.298,1.55,0.311,53.60%,8.88,8.1,0.78
185,Preston Crowl,VT,21,41.1,8.93,4.79,1.86,1.52,21.40%,11.50%,9.90%,0.238,1.5,0.275,62.70%,6.53,5.75,0.78
186,Cade Montgomery,MICH,23,45.2,7.69,3.15,2.44,0.79,19.70%,8.10%,11.60%,0.253,1.34,0.304,62.30%,5.32,4.55,0.78
187,Gabe LeBlanc,SFA,,51,5.29,1.41,3.75,1.06,13.10%,3.50%,9.60%,0.3,1.43,0.326,58.30%,6,5.22,0.78
188,Ethan Smith,LIN,22,46,7.24,3.33,2.18,0.78,18.20%,8.40%,9.90%,0.268,1.41,0.319,57.20%,6.07,5.29,0.77
189,Luc Fladda,ARIZ,23,75,7.56,0.96,7.88,1.2,19.90%,2.50%,17.40%,0.278,1.24,0.322,61.70%,5.28,4.51,0.77
190,Aiden Poe,AFA,19,40.1,6.25,4.02,1.56,0.89,14.70%,9.50%,5.30%,0.287,1.64,0.326,52.00%,7.36,6.6,0.76
191,Trey Sejnoha,DART,22,37.1,11.33,5.06,2.24,0,27.80%,12.40%,15.40%,0.21,1.37,0.313,62.50%,4.34,3.58,0.76
192,Will Holder,GASO,19,55.2,6.31,3.4,1.86,1.29,15.20%,8.20%,7.00%,0.277,1.49,0.305,59.70%,7.11,6.36,0.75
193,Jackson Burns,TTU,20,52,9.17,4.15,2.21,1.56,22.20%,10.00%,12.10%,0.287,1.62,0.347,63.30%,6.75,6,0.75
194,Brady Hoover,LONG,,56,6.11,2.09,2.92,0.32,15.00%,5.10%,9.80%,0.281,1.39,0.33,55.20%,5.46,4.71,0.75
195,Calen Scheider,BRAD,,54,4.67,6.17,0.76,0.33,10.60%,14.00%,-3.40%,0.301,1.89,0.339,57.20%,7.33,6.59,0.75
196,Jared Schaeffer,DBU,,48.1,7.08,2.98,2.38,1.49,15.70%,6.60%,9.10%,0.29,1.63,0.322,61.20%,7.08,6.33,0.75
197,Logan Darnell,MVSU,,55,4.75,2.45,1.93,1.31,10.40%,5.40%,5.00%,0.36,1.96,0.385,57.40%,8.02,7.28,0.74
198,Wyatt Danilowicz,LOU,22,65.2,10.55,4.11,2.57,0.96,26.10%,10.20%,15.90%,0.258,1.46,0.343,65.10%,5.35,4.62,0.73
199,Payton Riske,UTAH,,60,6.3,2.85,2.21,1.05,15.30%,6.90%,8.40%,0.288,1.52,0.323,63.10%,6.15,5.42,0.73
200,Jake Mulvehill,LEH,,45.1,9.13,2.38,3.83,0.6,23.40%,6.10%,17.30%,0.305,1.46,0.398,67.30%,5.16,4.44,0.72
201,Brady Miller,BC,21,50,9.36,3.6,2.6,0.9,23.00%,8.80%,14.20%,0.239,1.36,0.299,62.10%,5.22,4.51,0.71
202,Jaxson Pease,TNTC,22,72.1,6.1,2.12,2.88,0.87,14.90%,5.20%,9.80%,0.327,1.63,0.372,64.40%,5.6,4.89,0.7
203,Ryder Jeske,TOW,22,45,9.6,4.8,2,0.6,22.60%,11.30%,11.30%,0.275,1.64,0.359,66.00%,5.8,5.1,0.7
204,Cole Van Assen,PUR,21,73,7.4,1.85,4,1.36,17.90%,4.50%,13.40%,0.302,1.49,0.346,62.40%,5.79,5.1,0.69
205,Justin Ritz,COPP,22,49.1,7.3,3.1,2.35,0.55,16.30%,6.90%,9.40%,0.283,1.56,0.337,52.90%,7.3,6.61,0.68
206,Reagan James,UAPB,,49,6.98,4.59,1.52,0.92,15.10%,10.00%,5.20%,0.31,1.88,0.358,50.50%,7.9,7.22,0.68
207,Will Howell,MEM,,63.1,6.82,4.97,1.37,1.14,16.10%,11.70%,4.40%,0.273,1.64,0.31,63.20%,6.82,6.15,0.67
208,Jaron Bleeker,IOWA,20,59.1,7.74,2.58,3,0.76,18.90%,6.30%,12.60%,0.295,1.5,0.356,64.80%,5.16,4.49,0.67
209,Ryan Borberg,DBU,22,51.2,6.97,3.83,1.82,1.57,16.10%,8.80%,7.20%,0.292,1.65,0.323,57.60%,7.49,6.83,0.66
210,Michael Gibson,CIT,,44.1,12.38,4.26,2.9,0.81,29.80%,10.20%,19.50%,0.244,1.44,0.351,70.80%,4.87,4.22,0.65
211,Troy Benko,M-OH,22,43.2,5.77,2.06,2.8,1.24,12.40%,4.40%,8.00%,0.281,1.58,0.301,57.90%,6.8,6.15,0.65
212,Seth Garner,MEM,,51.1,6.84,3.16,2.17,1.75,15.10%,7.00%,8.10%,0.28,1.64,0.299,56.80%,6.84,6.19,0.65
213,Noah Rooney,ND,23,43,7.53,2.72,2.77,0.84,18.70%,6.70%,11.90%,0.281,1.47,0.333,62.30%,5.02,4.38,0.65
214,Alex Valentin,SC,20,52,10.21,3.98,2.57,1.04,24.40%,9.50%,14.90%,0.25,1.46,0.32,63.00%,5.19,4.56,0.63
215,Trever Baumler,TCU,20,43.1,6.65,3.53,1.88,1.04,15.90%,8.50%,7.50%,0.295,1.59,0.338,64.30%,6.44,5.81,0.63
216,Robert Sanford,BRAD,,50,8.1,5.94,1.36,1.08,18.00%,13.20%,4.80%,0.288,1.86,0.344,59.80%,7.38,6.75,0.63
217,Ryan Weller,USI,,64,6.75,5.34,1.26,0,15.60%,12.30%,3.20%,0.263,1.66,0.322,58.10%,5.63,5,0.62
218,Carson Byers,M-OH,22,59.1,8.34,2.73,3.06,1.37,19.00%,6.20%,12.80%,0.28,1.53,0.325,57.00%,6.83,6.2,0.62
219,Carson Cormier,ILST,,63,10.29,1.43,7.2,0.43,27.10%,3.80%,23.30%,0.295,1.33,0.403,68.40%,4.14,3.52,0.62
220,Ty Uber,ND,23,52.1,8.25,3.96,2.09,1.03,20.30%,9.70%,10.60%,0.255,1.45,0.305,57.90%,5.68,5.06,0.62
221,Vincent Fusco,UNH,,39.1,8.47,7.55,1.12,0.92,17.70%,15.80%,1.90%,0.299,2.11,0.365,55.60%,8.69,8.08,0.61
222,Steele Murdock,UCSD,21,66,12.68,5.73,2.21,0.95,28.70%,13.00%,15.70%,0.249,1.65,0.355,62.40%,5.73,5.12,0.61
223,Jacob Dudan,NCSU,21,50,11.16,2.16,5.17,0.54,30.40%,5.90%,24.50%,0.228,1.1,0.323,70.60%,3.6,2.99,0.61
224,JC Dermody,ULM,22,58.1,7.87,4.17,1.89,1.08,17.80%,9.40%,8.40%,0.297,1.73,0.351,65.60%,6.48,5.88,0.6
225,Andrew Jones,VMI,21,45.1,8.34,5.36,1.56,2.38,19.30%,12.40%,6.90%,0.28,1.74,0.303,59.50%,8.14,7.54,0.6
226,Benjamin Stubbs,TROY,22,74,8.15,3.89,2.09,0.61,20.20%,9.60%,10.50%,0.257,1.46,0.317,62.90%,5.23,4.64,0.59
227,Cade Williams,UMES,,50,5.4,6.66,0.81,1.44,11.50%,14.20%,-2.70%,0.332,2.18,0.358,52.50%,9.54,8.96,0.58
228,Gabriel Barrett,SF,23,70.1,8.32,2.05,4.06,0.38,20.40%,5.00%,15.40%,0.306,1.51,0.385,65.00%,4.73,4.16,0.58
229,LJ Mercurius,OU,21,57.2,12.02,2.97,4.05,1.87,29.80%,7.40%,22.50%,0.247,1.32,0.317,65.50%,5.62,5.04,0.58
230,Brock Buckley,BUT,,79.2,8.47,2.37,3.57,0.23,21.10%,5.90%,15.20%,0.285,1.42,0.366,62.70%,4.63,4.06,0.58
231,Alec Couture,MONM,23,71,7.23,2.66,2.71,0.38,17.70%,6.50%,11.20%,0.296,1.54,0.359,55.10%,4.94,4.37,0.58
232,Liam Diehl,TOW,,55.1,10.08,4.88,2.07,1.14,22.50%,10.90%,11.60%,0.29,1.72,0.374,57.80%,7.16,6.59,0.57
233,Zane Adams,ALA,22,76.1,10.02,2.83,3.54,0.94,25.80%,7.30%,18.50%,0.258,1.34,0.335,69.30%,4.36,3.8,0.56
234,Randy Guzman,WIN,,47.1,7.61,5.51,1.38,1.14,17.30%,12.60%,4.80%,0.274,1.75,0.318,57.80%,7.04,6.49,0.55
235,Camden Wimbish,CAM,21,49.2,10.15,2.72,3.73,1.09,25.20%,6.80%,18.50%,0.241,1.27,0.307,55.90%,5.62,5.07,0.54
236,Trevor Landen,UNCO,21,52,6.23,6.06,1.03,1.38,14.10%,13.70%,0.40%,0.294,1.88,0.324,59.30%,8.13,7.6,0.54
237,Andrew Fierro,MRST,20,44.2,9.67,3.63,2.67,1.21,21.90%,8.20%,13.70%,0.333,1.86,0.418,67.00%,6.04,5.51,0.54
238,Alex Mason,GASO,21,51.2,6.45,4.53,1.42,1.92,14.60%,10.20%,4.30%,0.261,1.63,0.27,52.30%,7.84,7.31,0.53
239,Heath Andrews,NCSU,22,56,8.2,4.98,1.65,1.61,19.20%,11.70%,7.50%,0.275,1.68,0.315,62.40%,6.75,6.22,0.53
240,Jerrod Jenkins,DBU,22,43.2,7.63,6.39,1.19,1.24,17.10%,14.30%,2.80%,0.285,1.88,0.331,60.80%,7.42,6.9,0.52
241,Chase Carson,CLT,23,58.2,7.52,3.37,2.23,0.77,17.20%,7.70%,9.50%,0.267,1.55,0.314,61.80%,5.22,4.71,0.51
242,Tristan McGregor,PRES,21,49,6.98,2.94,2.38,1.47,15.70%,6.60%,9.10%,0.322,1.73,0.363,59.40%,7.16,6.66,0.5
243,Lex Kenny,WES,,77.1,6.87,2.79,2.46,0.47,17.20%,7.00%,10.20%,0.272,1.41,0.325,60.70%,5.12,4.62,0.5
244,Gunnar Nichols,WASH,,46.1,9.52,4.27,2.23,0.78,24.50%,11.00%,13.50%,0.212,1.25,0.274,64.60%,5.24,4.75,0.49
245,Drew Lafferty,PITT,22,61.1,6.02,3.23,1.86,0.73,14.30%,7.70%,6.60%,0.303,1.6,0.346,64.40%,5.72,5.23,0.49
246,Michael Fliss,TOL,20,51.2,11.67,5.23,2.23,0.35,24.60%,11.00%,13.60%,0.238,1.65,0.327,64.40%,5.4,4.91,0.49
247,Riane Ritter,KU,20,54.1,10.27,3.15,3.26,0.99,25.90%,7.90%,18.00%,0.248,1.31,0.324,64.70%,5.3,4.81,0.49
248,Matthew Kahn,VILL,,39.2,8.85,4.76,1.86,0.91,21.10%,11.40%,9.70%,0.281,1.66,0.35,65.20%,6.13,5.64,0.48
249,Wyatt Nadeau,VAN,19,51.2,10.45,6.27,1.67,0.87,26.20%,15.70%,10.50%,0.211,1.45,0.283,65.80%,5.57,5.09,0.48
250,Doug Marose,DEL,,46.2,5.4,3.66,1.47,1.16,12.80%,8.70%,4.10%,0.327,1.78,0.358,59.30%,6.56,6.08,0.47
251,Mario Pesca,OKST,22,61.2,10.22,3.94,2.59,1.17,24.50%,9.40%,15.00%,0.271,1.52,0.349,68.60%,5.84,5.37,0.47
252,Jace Stancil,COFC,,46.1,8.35,3.11,2.69,0.58,20.30%,7.50%,12.70%,0.289,1.53,0.361,63.20%,5.24,4.78,0.47
253,Chase Hanawalt,FOR,19,80.1,9.07,2.58,3.52,1.12,23.80%,6.70%,17.00%,0.24,1.22,0.293,59.60%,5.38,4.91,0.47
254,Yates Bland,UNLV,22,48,8.06,3,2.69,0.19,19.00%,7.10%,11.90%,0.307,1.63,0.386,66.20%,5.44,4.97,0.47
255,Andrew Allen,ARST,,45,10.2,3.6,2.83,1.4,26.20%,9.20%,16.90%,0.272,1.44,0.348,67.60%,5.8,5.34,0.46
256,Jacob Gutierrez,CSUB,,60,8.25,2.85,2.89,0.6,20.40%,7.00%,13.30%,0.273,1.42,0.339,63.30%,4.95,4.49,0.46
257,Ben Blair,LIB,,81.1,11.29,1.33,8.5,0.66,30.50%,3.60%,26.90%,0.22,1,0.307,63.70%,3.87,3.42,0.45
258,Kike Cienfuegos,RGV,,48.1,9.5,2.05,4.64,0.93,23.50%,5.10%,18.40%,0.279,1.39,0.352,66.20%,4.84,4.39,0.45
259,Mitch Dye,ILL,22,50.2,8.17,4.44,1.84,1.6,19.60%,10.60%,8.90%,0.255,1.52,0.289,58.20%,6.57,6.13,0.44
260,Preston Prince,FIU,22,47,10.34,8.04,1.29,0.77,23.70%,18.40%,5.30%,0.247,1.87,0.328,64.30%,6.13,5.69,0.44
261,Ryan McLaughlin,DEL,,54.2,6.75,3.29,2.05,0.49,14.70%,7.20%,7.50%,0.267,1.57,0.31,58.60%,5.6,5.17,0.43
262,Jacob Pannell,CARK,,52.1,6.88,4.82,1.43,1.89,15.60%,10.90%,4.70%,0.294,1.76,0.317,61.20%,8.08,7.65,0.43
263,Trace Hartman,STET,21,52.1,7.39,3.61,2.05,0.34,18.30%,8.90%,9.40%,0.263,1.47,0.321,61.20%,4.82,4.39,0.43
264,Cooper Consiglio,NCSU,20,59.2,10.71,4.22,2.54,1.51,26.60%,10.50%,16.10%,0.249,1.44,0.316,56.40%,5.73,5.3,0.43
265,Nicholas Robb,GCU,21,47.2,7.74,3.21,2.41,0.76,19.20%,8.00%,11.30%,0.275,1.47,0.331,60.80%,6.04,5.62,0.42
266,Garrett Holpuch,TNTC,,45,7.2,4.8,1.5,1.6,15.50%,10.30%,5.20%,0.314,1.98,0.35,63.50%,7,6.58,0.42
267,Evan Whiteaker,ACU,22,48,7.88,4.31,1.83,1.13,17.60%,9.60%,7.90%,0.264,1.65,0.305,56.30%,6.19,5.77,0.42
268,Zac Colletti,UIW,23,48,6.56,4.31,1.52,0.56,16.00%,10.50%,5.50%,0.281,1.6,0.331,65.10%,5.63,5.21,0.42
269,Alessandro Castro,NEV,22,47.1,6.65,4.18,1.59,1.71,15.60%,9.80%,5.80%,0.31,1.77,0.34,53.80%,7.99,7.57,0.42
270,Luke Harrison,TEX,23,70,10.03,3.73,2.69,0.9,25.20%,9.40%,15.80%,0.236,1.33,0.306,63.30%,4.76,4.34,0.41
271,Reid Bertram,GWEB,23,61.2,5.84,2.92,2,1.46,14.10%,7.10%,7.10%,0.311,1.59,0.338,60.40%,7.15,6.74,0.41
272,Landon Waugh,MORE,,55.1,7.64,4.23,1.81,1.63,17.90%,9.90%,8.00%,0.276,1.59,0.31,51.20%,7.32,6.91,0.41
273,Keevyn Goss,GRAM,21,44,7.36,9,0.82,1.43,14.80%,18.10%,-3.30%,0.311,2.3,0.357,57.80%,10.23,9.82,0.4
274,Gavin Perry,WKU,23,77.2,8.92,2.09,4.28,0.46,23.80%,5.60%,18.30%,0.261,1.25,0.338,66.40%,4.06,3.66,0.4
275,Joshua Caravalho,HCU,,57.2,8.12,4.37,1.86,1.87,19.20%,10.30%,8.90%,0.273,1.61,0.305,56.70%,7.18,6.78,0.39
276,Dawson Montesa,WVU,20,61.2,11.24,4.96,2.26,1.31,27.90%,12.30%,15.60%,0.238,1.46,0.315,65.20%,5.84,5.45,0.39
277,Jackson Lee,LIP,,49,8.45,5.88,1.44,0.92,18.70%,13.00%,5.70%,0.288,1.88,0.35,67.00%,6.43,6.05,0.38
278,Liam Peterson,FLA,21,74.1,11.99,4.24,2.83,0.85,31.00%,11.00%,20.10%,0.237,1.37,0.339,70.80%,4,3.61,0.38
279,Evan Kleinhans,COLU,22,46,7.63,2.35,3.25,0.39,18.80%,5.80%,13.00%,0.29,1.43,0.359,68.30%,4.7,4.32,0.38
280,Adrian Valdez,SF,,51.2,5.23,2.79,1.88,0.52,12.10%,6.50%,5.70%,0.283,1.53,0.316,56.80%,5.75,5.37,0.38
281,Owen Phypers,NAVY,,54,8.67,3,2.89,1.33,21.80%,7.50%,14.20%,0.274,1.43,0.329,62.70%,6,5.62,0.38
282,Jace Trautner,LIP,,48,6.75,2.81,2.4,1.5,16.20%,6.80%,9.50%,0.317,1.65,0.354,60.40%,6.56,6.19,0.38
283,Corden Pettey,CP,,53.2,9.89,3.35,2.95,1.01,24.40%,8.30%,16.10%,0.275,1.49,0.353,66.10%,5.03,4.66,0.37
284,Connor Marshburn,UNCW,21,74.2,8.8,3.01,2.92,0.24,21.70%,7.40%,14.30%,0.253,1.34,0.329,60.30%,4.7,4.33,0.37
285,Jason Schaaf,MOST,22,60.2,8.6,2.52,3.41,1.48,20.20%,5.90%,14.30%,0.318,1.68,0.377,61.50%,5.79,5.42,0.37
286,Taylor Rabe,MISS,21,57.1,12.72,1.26,10.13,1.57,34.90%,3.40%,31.50%,0.233,1.03,0.32,76.00%,4.08,3.72,0.36
287,Adam Stanton,CLT,23,53.2,6.71,2.68,2.5,0.34,15.00%,6.00%,9.00%,0.247,1.42,0.289,66.10%,4.53,4.17,0.36
288,Jaxon Lucas,LIB,21,58,6.67,3.72,1.79,0.78,16.70%,9.30%,7.40%,0.273,1.5,0.317,63.90%,5.59,5.23,0.35
289,Julian Mlodzinski,FIU,22,58,5.12,4.19,1.22,0.93,11.70%,9.60%,2.10%,0.303,1.78,0.33,58.80%,6.36,6.01,0.35
290,Blake Smith,SEA,22,42,10.71,2.57,4.17,0,25.80%,6.20%,19.60%,0.254,1.33,0.358,64.60%,3.86,3.5,0.35
291,Cole Fehrman,JOES,22,68,11.91,3.71,3.21,0.53,29.40%,9.20%,20.30%,0.24,1.34,0.349,65.70%,4.63,4.28,0.35
292,Roberto Velasquez,VMI,23,43.2,7.63,4.74,1.61,2.27,17.30%,10.70%,6.50%,0.326,1.88,0.361,65.30%,8.04,7.69,0.35
293,Ethan Stade,BGSU,23,64,14.48,2.81,5.15,0.7,36.50%,7.10%,29.40%,0.214,1.14,0.343,60.00%,4.36,4.01,0.35
294,Christian Mello,ALB,,48.2,7.4,9.25,0.8,1.48,16.10%,20.10%,-4.00%,0.273,2.12,0.308,63.00%,8.32,7.97,0.35
295,Troy Dressler,WAKE,20,53.1,12.66,4.39,2.88,1.18,31.90%,11.10%,20.90%,0.245,1.44,0.349,71.80%,4.56,4.21,0.35
296,Eddie Copper,CLT,21,56,9.32,5.63,1.66,0.32,22.70%,13.70%,9.00%,0.237,1.52,0.318,68.00%,4.98,4.64,0.34
297,Hunter Colagrande,STBK,,58,9.62,3.26,2.95,2.02,22.30%,7.60%,14.70%,0.317,1.71,0.38,63.20%,7.14,6.8,0.34
298,Dutch DeProspero,TOW,22,59.1,7.28,3.64,2,1.82,15.90%,7.90%,7.90%,0.343,1.96,0.385,61.40%,7.43,7.1,0.33
299,Brandon Mikos,YSU,,55.1,6.02,4.23,1.42,1.95,13.40%,9.40%,4.00%,0.329,1.93,0.35,59.40%,8.46,8.12,0.33
300,Holden McKinney,JMU,,45.2,6.11,2.36,2.58,0.59,14.80%,5.70%,9.00%,0.275,1.4,0.316,53.80%,5.32,4.99,0.33
301,Andrew Abler,HARV,20,56.2,5.88,2.7,2.18,0.79,14.40%,6.60%,7.80%,0.278,1.45,0.313,60.50%,5.4,5.07,0.33
302,Ty Madison,SDST,,56.1,7.35,1.6,4.6,0.96,18.90%,4.10%,14.80%,0.283,1.33,0.331,63.70%,5.43,5.11,0.32
303,George Adams,FIU,20,45.2,8.87,4.53,1.96,1.38,20.90%,10.70%,10.20%,0.287,1.69,0.346,68.80%,6.31,5.99,0.31
304,Gus McKay,UIW,,49.1,5.66,3.47,1.63,1.09,13.50%,8.30%,5.20%,0.315,1.68,0.349,63.70%,6.39,6.07,0.31
305,Luke Alwood,SEA,22,43,10.05,3.98,2.53,1.05,24.40%,9.60%,14.70%,0.266,1.51,0.342,61.90%,5.65,5.34,0.31
306,Ethan Norby,ECU,21,75.2,12.85,2.85,4.5,1.07,30.80%,6.80%,23.90%,0.265,1.4,0.378,72.50%,4.52,4.21,0.31
307,Harrison Thayer,RGV,,61,6.93,3.69,1.88,0.59,17.80%,9.50%,8.30%,0.242,1.34,0.286,61.70%,5.16,4.85,0.31
308,Michael Caruso,GAST,22,65.2,8.5,3.29,2.58,0.69,21.90%,8.50%,13.40%,0.226,1.23,0.281,60.50%,4.93,4.63,0.3
309,Jesse Gutierrez,SJSU,,45.1,6.15,4.76,1.29,0.4,14.40%,11.10%,3.20%,0.297,1.74,0.349,61.30%,6.55,6.25,0.3
310,Brett Renfrow,VT,21,69.2,11.11,2.71,4.1,1.29,29.00%,7.10%,21.90%,0.248,1.26,0.328,71.30%,4.65,4.35,0.3
311,Mason Smith,CAM,,50,10.62,3.24,3.28,1.98,26.30%,8.00%,18.30%,0.251,1.36,0.302,58.70%,6.66,6.37,0.29
312,Ethan Calder,BAY,22,67.2,6.78,2,3.4,0.8,16.10%,4.70%,11.40%,0.275,1.43,0.315,61.10%,4.79,4.5,0.29
313,JD Rodriguez,TULN,,58,9,4.34,2.07,1.4,21.00%,10.10%,10.90%,0.3,1.72,0.364,67.10%,6.05,5.77,0.28
314,Kyle Froehlich,TXST,,56.2,9.85,0.95,10.33,1.11,25.20%,2.40%,22.80%,0.269,1.22,0.339,59.80%,4.45,4.17,0.28
315,Ethan Eberle,LOU,20,65.1,9.92,4.13,2.4,1.38,22.30%,9.30%,13.00%,0.31,1.79,0.387,70.40%,5.79,5.51,0.28
316,Kros Sivley,USM,22,49,8.82,1.84,4.8,0.73,24.00%,5.00%,19.00%,0.211,1,0.263,62.00%,4.41,4.13,0.27
317,Corey Costello,RAD,21,45.2,9.46,6.31,1.5,0.79,21.60%,14.40%,7.20%,0.257,1.71,0.331,61.20%,6.5,6.24,0.27
318,Kale Hammer,SEA,21,70,7.84,2.57,3.05,1.29,19.70%,6.50%,13.30%,0.274,1.4,0.318,59.10%,5.79,5.53,0.26
319,Derek Benzinger,HALL,23,41.2,6.7,6.91,0.97,0.65,15.00%,15.50%,-0.50%,0.292,1.97,0.343,58.70%,6.7,6.45,0.25
320,Trae Burton,JKST,19,41.2,8.64,8.86,0.98,1.08,18.80%,19.20%,-0.50%,0.255,1.99,0.308,53.00%,8.64,8.4,0.24
321,Josh Halcisak,MSM,21,41,9,5.49,1.64,0.88,20.40%,12.40%,8.00%,0.302,1.88,0.378,65.00%,5.93,5.69,0.24
322,Sam Heyman,BEL,23,45,7.6,3.8,2,0.4,18.00%,9.00%,9.00%,0.265,1.49,0.326,54.50%,5.6,5.36,0.24
323,Fernando Palencia,USD,,42.2,7.8,3.8,2.06,1.9,17.30%,8.40%,8.90%,0.323,1.83,0.364,61.00%,7.59,7.36,0.23
324,Liam Kinneen,PRIN,21,58.2,6.44,4.91,1.31,0.46,15.40%,11.80%,3.70%,0.251,1.5,0.298,59.50%,5.98,5.75,0.23
325,Steven Mazza,MRST,21,49.2,6.7,5.44,1.23,0.91,14.60%,11.90%,2.80%,0.327,2.03,0.377,60.00%,6.52,6.29,0.23
326,Marco Dumsky,DART,,40.1,8.48,5.13,1.65,0.89,19.10%,11.60%,7.50%,0.288,1.79,0.352,56.60%,5.8,5.57,0.23
327,Max Kaplan,UPST,20,69.1,8.18,2.47,3.32,1.04,20.90%,6.30%,14.60%,0.271,1.33,0.328,61.20%,5.71,5.49,0.23
328,Kenyon Collins,MRSH,20,66,9,3.95,2.28,0.68,19.80%,8.70%,11.10%,0.239,1.5,0.293,60.60%,5.18,4.96,0.22
329,Connor Fennell,VAN,21,80.2,10.82,2.12,5.11,1.67,28.80%,5.60%,23.10%,0.248,1.19,0.312,70.70%,4.8,4.58,0.22
330,Nick DiRito,APP,23,76,10.07,2.72,3.7,0.71,25.70%,6.90%,18.70%,0.254,1.3,0.337,70.30%,4.38,4.17,0.21
331,AJ Ciscar,MIA,,68.1,9.09,1.05,8.63,1.05,21.20%,2.50%,18.70%,0.244,1.21,0.291,64.00%,4.35,4.13,0.21
332,Jack Radel,ND,21,81.1,11.95,2.32,5.14,0.77,32.40%,6.30%,26.10%,0.206,1.05,0.292,68.70%,3.32,3.11,0.21
333,William Taylor,MRST,22,41.2,7.78,6.05,1.29,0.86,18.50%,14.40%,4.10%,0.248,1.63,0.298,62.90%,6.48,6.27,0.21
334,Jesus Tovar,TXST,,61.1,8.8,4.7,1.88,0.29,22.30%,11.90%,10.40%,0.235,1.37,0.314,63.80%,5.14,4.93,0.21
335,Keenan Anzai,UCD,,54.2,8.73,3.13,2.79,0.33,22.60%,8.10%,14.50%,0.265,1.37,0.346,63.50%,4.12,3.92,0.2
336,Tristan Ciampa,SBU,24,41,9,4.39,2.05,0.22,21.70%,10.60%,11.10%,0.287,1.63,0.377,68.00%,4.61,4.41,0.2
337,Nolan Feidt,SBU,,51.1,7.19,6.14,1.17,0.53,14.80%,12.60%,2.20%,0.294,2.01,0.348,42.80%,6.31,6.12,0.2
338,Chase Herrell,USC,,46.1,7.58,4.47,1.7,1.36,17.20%,10.10%,7.00%,0.255,1.6,0.286,64.50%,6.02,5.83,0.19
339,Travis Farrell,SEA,23,73,8.01,2.47,3.25,1.11,19.80%,6.10%,13.70%,0.307,1.55,0.367,65.50%,5.42,5.23,0.19
340,Loren Georger,SLU,,44,7.36,3.48,2.12,0.41,18.20%,8.60%,9.60%,0.261,1.43,0.319,64.40%,4.91,4.72,0.19
341,Haden Luke,NICH,,52.2,11.79,5.47,2.16,1.37,28.60%,13.30%,15.40%,0.26,1.61,0.354,68.50%,5.81,5.63,0.18
342,Cody Templeton,SFA,,74.1,8.72,3.63,2.4,0.48,21.50%,9.00%,12.50%,0.282,1.53,0.36,69.30%,4.6,4.42,0.18
343,Zach Erdman,PUR,22,66.1,7.73,2.04,3.8,1.22,18.80%,4.90%,13.80%,0.316,1.58,0.37,66.40%,4.88,4.71,0.18
344,Branton Little,WOF,22,52.1,9.46,1.72,5.5,0.86,23.30%,4.20%,19.10%,0.279,1.38,0.352,62.30%,3.96,3.78,0.17
345,Keyon Guillory,GRAM,22,64.1,7.55,6.16,1.23,0.28,17.30%,14.10%,3.20%,0.282,1.83,0.35,56.50%,6.58,6.4,0.17
346,Jon Whiteside,DAY,,45.1,7.15,4.17,1.71,1.19,16.60%,9.70%,6.90%,0.304,1.7,0.352,59.60%,6.75,6.58,0.17
347,Nolan Geisler,UML,,48,5.81,2.44,2.38,0.94,14.60%,6.10%,8.50%,0.299,1.48,0.335,65.20%,5.44,5.28,0.16
348,Josh Willitts,NJIT,,69,7.17,4.43,1.62,0.78,17.20%,10.60%,6.60%,0.288,1.65,0.341,63.40%,5.61,5.45,0.16
349,Alexander Llinas,LIP,22,67.1,8.02,4.01,2,1.07,19.70%,9.80%,9.80%,0.262,1.49,0.312,64.00%,5.88,5.73,0.16
350,Zachary Robinson,UMBC,,68.1,5.93,2.5,2.37,0.13,14.30%,6.00%,8.30%,0.3,1.54,0.353,63.90%,4.35,4.19,0.15
