score_sentence,team_name_home,team_name_away,total_drives,total_points,point_diff,total_plays,total_sp_td,total_turnovers,total_punts,minutes,predicted_minutes,diff
"Temple 41, Norfolk State 9",,,20,50,32,125,0,1,5,194,189.33071271424387,-4.669287285756127
"Washington State 64, Northern Colorado 21",,,24,85,43,135,0,1,9,194,204.0224999966773,10.022499996677311
"UCF 48, Villanova 14",,,26,62,34,140,0,1,12,194,206.78239626907583,12.782396269075832
"Rutgers 35, Virginia Tech 16",,,26,51,19,121,0,2,12,194,206.5281628779867,12.528162877986688
"North Carolina 31, Minnesota 13",,,23,44,18,138,0,4,9,193,200.87422198002,7.874221980019996
"Georgia 24, South Carolina 14",,,21,38,10,137,0,2,8,192,197.98909405669286,5.989094056692863
"Kentucky 35, Akron 3",,,21,38,32,114,0,4,6,191,186.88025404135388,-4.119745958646121
"Kansas 31, Nevada 24",,,21,55,7,126,0,1,8,191,201.61446384006857,10.614463840068566
"Middle Tennessee 35, Murray State 14",,,27,49,21,130,0,4,10,191,208.15235578559947,17.152355785599468
"Arizona 31, UTEP 10",,,23,41,21,125,0,2,10,191,197.66469221053194,6.664692210531939
"Texas 31, Wyoming 10",,,20,41,21,118,0,2,11,191,190.81924970661015,-0.18075029338984905
"Kent State 38, Central Connecticut State 10",,,27,48,28,123,0,3,12,190,204.9758485993007,14.97584859930069
"SMU 69, Prairie View A&M 0",,,24,69,69,122,0,1,11,190,189.92939705195067,-0.0706029480493271
"Ball State 45, Indiana State 7",,,24,52,38,119,0,4,10,186,195.55464862919317,9.554648629193167
"Auburn 45, Samford 13",,,25,58,32,140,0,5,6,186,203.21427724718512,17.214277247185123
"Tulane 21, Southern Mississippi 3",,,21,24,18,120,0,0,10,186,190.07161464430447,4.071614644304475
"Air Force 39, Utah State 21",,,19,60,18,129,0,2,6,185,195.07404882811005,10.074048828110051
"Oregon State 26, San Diego State 9",,,23,35,17,128,0,3,9,185,197.7636308167006,12.763630816700612
"Michigan 31, Bowling Green 6",,,25,37,25,101,0,7,9,182,195.5007243440722,13.50072434407221
"Louisville 21, Indiana 14",,,20,35,7,123,0,2,8,182,194.33985029014667,12.339850290146671
"Ohio 10, Iowa State 7",,,21,17,3,116,0,2,11,179,192.92642587699103,13.926425876991033
"Texas A&M 47, Louisiana Monroe 3",,,22,50,44,121,0,0,9,179,189.45959925203874,10.459599252038743
"Miami 48, Bethune-Cookman 7",,,20,55,41,117,0,2,8,178,186.7689292854758,8.768929285475792
"Arkansas State 31, Stony Brook 7",,,22,38,24,131,0,0,10,178,194.91229488176097,16.91229488176097
"New Mexico State 27, New Mexico 17",,,18,44,10,116,0,1,6,174,190.23682719740847,16.236827197408473
"Utah 31, Weber State 7",,,21,38,24,115,0,2,9,174,190.3660615762153,16.366061576215287
"UCLA 59, North Carolina Central 7",,,26,66,52,124,0,3,10,173,198.94953955927963,25.94953955927963
"NC State 45, Virginia Military 7",,,18,52,38,122,1,1,9,173,183.97660885099742,10.976608850997422
"Duke 38, Northwestern 14",,,19,52,24,130,0,1,6,172,191.35474558486425,19.354745584864247
"Miami (OH) 31, Cincinnati 24",,,24,55,7,140,0,4,6,95,209.02865147488214,114.02865147488214
"Miami (OH) 41, UMass 28",,,28,69,13,122,0,5,11,410,216.61237744349054,-193.38762255650946
"Boston College 31, Holy Cross 28",,,17,59,3,122,0,1,6,351,194.99958898033464,-156.00041101966536
"Notre Dame 45, NC State 24",,,32,69,21,139,0,4,12,325,224.54591008564586,-100.45408991435414
"Wake Forest 36, Vanderbilt 20",,,21,56,16,137,0,4,4,322,199.44922515917605,-122.55077484082395
"West Virginia 56, Duquesne 17",,,28,73,39,141,0,4,9,309,211.15516336670086,-97.84483663329914
"Marshall 31, East Carolina 13",,,28,44,18,137,0,3,9,307,210.87695810392307,-96.12304189607693
"James Madison 36, Virginia 35",,,28,71,1,127,1,1,13,280,222.48243346997248,-57.51756653002752
"Navy 24, Wagner 0",,,26,24,24,129,0,2,14,267,199.8268879985774,-67.1731120014226
"Coastal Carolina 30, Jacksonville State 16",,,23,46,14,147,0,1,7,240,203.87049805709768,-36.12950194290232
"Rice 43, Houston 41",,,26,84,2,154,0,3,7,238,223.8351604710461,-14.164839528953905
"Fresno State 34, Eastern Washington 31",,,32,65,3,157,0,3,11,234,232.09584854767292,-1.9041514523270848
"Miami 48, Texas A&M 33",,,26,81,15,136,1,4,6,233,215.9892432315737,-17.01075676842629
"Oregon 38, Texas Tech 30",,,24,68,8,145,0,4,6,224,212.48079516343637,-11.519204836563631
